CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
-,2026000105,084.0000A,01,2026000105,39,02,기타지역,2,406
1.05,2026000105,115.0000A,02,2026000105,207,01,해당지역,1,197
-,2026000105,115.0000A,02,2026000105,67,02,기타지역,1,197
-,2026000105,115.0000A,02,2026000105,46,01,해당지역,2,197
-,2026000105,115.0000A,02,2026000105,12,02,기타지역,2,197
26.00,2026000105,134.5594 ,03,2026000105,52,01,해당지역,1,2
-,2026000105,134.5594 ,03,2026000105,8,02,기타지역,1,2
-,2026000105,134.5594 ,03,2026000105,0,01,해당지역,2,2
-,2026000105,134.5594 ,03,2026000105,0,02,기타지역,2,2
2.08,2026000104,084.0000A,01,2026000104,838,01,해당지역,1,403
-,2026000104,084.0000A,01,2026000104,198,02,기타지역,1,403
-,2026000104,084.0000A,01,2026000104,109,01,해당지역,2,403
-,2026000104,084.0000A,01,2026000104,32,02,기타지역,2,403
(△34),2026000104,084.9913C,02,2026000104,120,01,해당지역,1,154
1.12,2026000104,084.9913C,02,2026000104,38,02,기타지역,1,154
